[1740780580.4663646]	Q_Header<(2621443, 8482, 257, 173, 250, 8, 58, 0, 22)>	Q_Data<(0, 0, 0, 24, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 13, 16, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4014882848865804, y=-0.9107033595002533, z=0.09619117315008371, w=-0.013183561802295738)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=-0.023333333333333334, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.25, z=0.33)>	COMP<149>
[1740780580.476393]	Q_Header<(2621443, 8483, 257, 173, 250, 8, 58, 1, 24)>	Q_Data<(0, 0, 0, 79, 52, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 45, 0, 0, 0, 12, 0, 8, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40082120536816984, y=-0.9110183205916406, z=0.09594806377931521, w=-0.013488881739967342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.025555555555555557, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.23, z=0.25)>	COMP<149>
[1740780580.486963]	Q_Header<(2621443, 8484, 257, 173, 250, 8, 58, 2, 28)>	Q_Data<(0, 0, 0, 79, 67, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 46, 15, 18, 0, 15, 0, 8, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40082120536816984, y=-0.9110183205916406, z=0.09594806377931521, w=-0.013488881739967342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.025555555555555557, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.23, z=0.25)>	COMP<149>
[1740780580.4962432]	Q_Header<(2621443, 8485, 257, 173, 250, 8, 58, 3, 22)>	Q_Data<(0, 0, 0, 30, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 59, 0, 31, 0, 0, 0, 11, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40082120536816984, y=-0.9110183205916406, z=0.09594806377931521, w=-0.013488881739967342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.025555555555555557, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.23, z=0.25)>	COMP<149>
[1740780580.5062597]	Q_Header<(2621443, 8486, 257, 173, 250, 8, 58, 4, 14)>	Q_Data<(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 108, 45, 37, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40082120536816984, y=-0.9110183205916406, z=0.09594806377931521, w=-0.013488881739967342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.025555555555555557, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.23, z=0.25)>	COMP<149>
[1740780580.5163977]	Q_Header<(2621443, 8487, 257, 173, 250, 8, 58, 5, 24)>	Q_Data<(0, 0, 0, 0, 81, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 145, 72, 31, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40014545433166226, y=-0.9113135720906115, z=0.09588598364170857, w=-0.014038049801141293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.03333333333333333, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.07, z=0.32)>	COMP<142>
[1740780580.5262716]	Q_Header<(2621443, 8488, 257, 173, 250, 8, 58, 6, 24)>	Q_Data<(0, 0, 0, 0, 76, 0, 18, 0, 0, 0, 44, 0, 0, 0, 0, 0, 204, 148, 77, 18, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40014545433166226, y=-0.9113135720906115, z=0.09588598364170857, w=-0.014038049801141293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.03333333333333333, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.07, z=0.32)>	COMP<142>
[1740780580.5364172]	Q_Header<(2621443, 8489, 257, 173, 250, 8, 58, 7, 19)>	Q_Data<(0, 0, 0, 0, 55, 65, 49, 0, 0, 34, 71, 0, 0, 0, 0, 0, 141, 115, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40014545433166226, y=-0.9113135720906115, z=0.09588598364170857, w=-0.014038049801141293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.03333333333333333, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.07, z=0.32)>	COMP<142>
[1740780580.546297]	Q_Header<(2621443, 8490, 257, 173, 250, 8, 58, 8, 24)>	Q_Data<(0, 0, 0, 0, 61, 21, 39, 0, 0, 64, 77, 0, 0, 0, 0, 0, 50, 66, 50, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3993586941363605, y=-0.9116340295920342, z=0.09600966313258368, w=-0.014770717405012873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.021111111111111112, z=0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.01, z=0.3)>	COMP<142>
[1740780580.5562768]	Q_Header<(2621443, 8491, 257, 173, 250, 8, 58, 9, 24)>	Q_Data<(0, 0, 0, 59, 60, 0, 0, 0, 0, 57, 100, 0, 0, 0, 0, 0, 35, 15, 33, 26, 30, 10, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3993586941363605, y=-0.9116340295920342, z=0.09600966313258368, w=-0.014770717405012873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.021111111111111112, z=0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.01, z=0.3)>	COMP<142>
[1740780580.5663598]	Q_Header<(2621443, 8492, 257, 173, 250, 8, 58, 10, 27)>	Q_Data<(0, 0, 0, 79, 66, 78, 53, 0, 0, 52, 99, 111, 0, 0, 0, 0, 33, 35, 49, 18, 55, 34, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3993586941363605, y=-0.9116340295920342, z=0.09600966313258368, w=-0.014770717405012873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.021111111111111112, z=0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.01, z=0.3)>	COMP<142>
