[1740780610.4665213]	Q_Header<(2621443, 11482, 257, 173, 250, 8, 58, 0, 21)>	Q_Data<(0, 0, 76, 55, 64, 42, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 39, 24, 26, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4008776204471377, y=-0.9113740299203197, z=0.09271210497247293, w=-0.009948698558599794)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.015555555555555555, z=0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.0, z=0.19)>	COMP<196>
[1740780610.4770148]	Q_Header<(2621443, 11483, 257, 173, 250, 8, 58, 1, 16)>	Q_Data<(0, 0, 76, 56, 48, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 35, 27, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4001424432520347, y=-0.9116729217290486, z=0.09295560419048945, w=-0.00988759545558719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.017777777777777778, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.0, z=0.13)>	COMP<197>
[1740780610.4865417]	Q_Header<(2621443, 11484, 257, 173, 250, 8, 58, 2, 23)>	Q_Data<(0, 0, 76, 63, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 48, 38, 24, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4001424432520347, y=-0.9116729217290486, z=0.09295560419048945, w=-0.00988759545558719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.017777777777777778, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.0, z=0.13)>	COMP<197>
[1740780610.496503]	Q_Header<(2621443, 11485, 257, 173, 250, 8, 58, 3, 17)>	Q_Data<(0, 0, 53, 65, 82, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 70, 46, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4001424432520347, y=-0.9116729217290486, z=0.09295560419048945, w=-0.00988759545558719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.017777777777777778, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.0, z=0.13)>	COMP<197>
[1740780610.5064914]	Q_Header<(2621443, 11486, 257, 173, 250, 8, 58, 4, 21)>	Q_Data<(0, 0, 62, 64, 81, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 73, 48, 22, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4001424432520347, y=-0.9116729217290486, z=0.09295560419048945, w=-0.00988759545558719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.017777777777777778, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.0, z=0.13)>	COMP<197>
[1740780610.5165846]	Q_Header<(2621443, 11487, 257, 173, 250, 8, 58, 5, 23)>	Q_Data<(0, 0, 62, 58, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 47, 34, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3992265585584837, y=-0.9120382914752212, z=0.09332172573550246, w=-0.009765517408554868)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.016666666666666666, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=0.15)>	COMP<197>
[1740780610.526518]	Q_Header<(2621443, 11488, 257, 173, 250, 8, 58, 6, 21)>	Q_Data<(0, 0, 58, 34, 13, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 115, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3992265585584837, y=-0.9120382914752212, z=0.09332172573550246, w=-0.009765517408554868)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.016666666666666666, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=0.15)>	COMP<197>
[1740780610.5366254]	Q_Header<(2621443, 11489, 257, 173, 250, 8, 58, 7, 19)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 232, 159, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3992265585584837, y=-0.9120382914752212, z=0.09332172573550246, w=-0.009765517408554868)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.016666666666666666, z=0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=0.15)>	COMP<197>
[1740780610.5465388]	Q_Header<(2621443, 11490, 257, 173, 250, 8, 58, 8, 22)>	Q_Data<(0, 0, 0, 76, 30, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 79, 240, 171, 23, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3985620275966416, y=-0.912298105128178, z=0.09362850694230448, w=-0.009704649676549161)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.013333333333333334, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.16, y=-0.04, z=0.17)>	COMP<198>
[1740780610.5565686]	Q_Header<(2621443, 11491, 257, 173, 250, 8, 58, 9, 25)>	Q_Data<(0, 0, 0, 79, 62, 55, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 216, 145, 32, 26, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3985620275966416, y=-0.912298105128178, z=0.09362850694230448, w=-0.009704649676549161)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.013333333333333334, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.16, y=-0.04, z=0.17)>	COMP<198>
[1740780610.566488]	Q_Header<(2621443, 11492, 257, 173, 250, 8, 58, 10, 20)>	Q_Data<(0, 0, 0, 59, 65, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 138, 86, 36, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3985620275966416, y=-0.912298105128178, z=0.09362850694230448, w=-0.009704649676549161)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.013333333333333334, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.16, y=-0.04, z=0.17)>	COMP<198>
