[1740780612.9665148]	Q_Header<(2621443, 11732, 257, 173, 250, 8, 58, 0, 16)>	Q_Data<(0, 0, 29, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 51, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35015503511041723, y=-0.931752966009348, z=0.09576316020363337, w=-0.007568280347514683)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.028888888888888888, y=0.03777777777777778, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.2, z=-0.02)>	COMP<196>
[1740780612.9767928]	Q_Header<(2621443, 11733, 257, 173, 250, 8, 58, 1, 17)>	Q_Data<(0, 0, 57, 31, 70, 50, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 36, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3491796450459929, y=-0.9321222756760014, z=0.09576347895073639, w=-0.007141062483898125)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.044444444444444446, z=0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.14, z=-0.08)>	COMP<196>
[1740780612.9865298]	Q_Header<(2621443, 11734, 257, 173, 250, 8, 58, 2, 21)>	Q_Data<(0, 0, 0, 52, 42, 60, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 124, 0, 30, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3491796450459929, y=-0.9321222756760014, z=0.09576347895073639, w=-0.007141062483898125)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.044444444444444446, z=0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.14, z=-0.08)>	COMP<196>
[1740780612.9964747]	Q_Header<(2621443, 11735, 257, 173, 250, 8, 58, 3, 16)>	Q_Data<(0, 0, 0, 79, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 176, 30, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3491796450459929, y=-0.9321222756760014, z=0.09576347895073639, w=-0.007141062483898125)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.044444444444444446, z=0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.14, z=-0.08)>	COMP<196>
[1740780613.0072615]	Q_Header<(2621443, 11736, 257, 173, 250, 8, 58, 4, 14)>	Q_Data<(0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 185, 34, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.347773910906158, y=-0.932666397430151, z=0.09564087721831338, w=-0.006286541387036553)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.05333333333333334, z=0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08, z=-0.1)>	COMP<196>
[1740780613.0163877]	Q_Header<(2621443, 11737, 257, 173, 250, 8, 58, 5, 14)>	Q_Data<(0, 0, 28, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 150, 27, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.347773910906158, y=-0.932666397430151, z=0.09564087721831338, w=-0.006286541387036553)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.05333333333333334, z=0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08, z=-0.1)>	COMP<196>
[1740780613.0264614]	Q_Header<(2621443, 11738, 257, 173, 250, 8, 58, 6, 14)>	Q_Data<(0, 0, 63, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 91, 19, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.347773910906158, y=-0.932666397430151, z=0.09564087721831338, w=-0.006286541387036553)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.05333333333333334, z=0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08, z=-0.1)>	COMP<196>
[1740780613.0371497]	Q_Header<(2621443, 11739, 257, 173, 250, 8, 58, 7, 28)>	Q_Data<(0, 0, 62, 57, 0, 0, 42, 0, 0, 0, 83, 0, 0, 0, 0, 0, 35, 44, 30, 47, 0, 12, 12, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.347773910906158, y=-0.932666397430151, z=0.09564087721831338, w=-0.006286541387036553)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.05333333333333334, z=0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08, z=-0.1)>	COMP<196>
[1740780613.0466316]	Q_Header<(2621443, 11740, 257, 173, 250, 8, 58, 8, 26)>	Q_Data<(0, 0, 62, 78, 67, 0, 0, 0, 0, 56, 60, 0, 0, 0, 0, 0, 37, 38, 47, 63, 24, 27, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3467464515314118, y=-0.9330598494209985, z=0.09558263388456098, w=-0.00549325482095178)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.05444444444444444, z=0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.06, z=-0.19)>	COMP<198>
[1740780613.0565598]	Q_Header<(2621443, 11741, 257, 173, 250, 8, 58, 9, 31)>	Q_Data<(0, 0, 54, 59, 82, 74, 0, 0, 0, 29, 87, 0, 0, 0, 0, 0, 52, 49, 42, 70, 62, 41, 0, 0, 0, 0, 20, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3467464515314118, y=-0.9330598494209985, z=0.09558263388456098, w=-0.00549325482095178)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.05444444444444444, z=0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.06, z=-0.19)>	COMP<198>
[1740780613.066526]	Q_Header<(2621443, 11742, 257, 173, 250, 8, 58, 10, 23)>	Q_Data<(0, 0, 77, 79, 9, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 67, 32, 67, 85, 51, 7, 22, 30, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3467464515314118, y=-0.9330598494209985, z=0.09558263388456098, w=-0.00549325482095178)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.05444444444444444, z=0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.06, z=-0.19)>	COMP<198>
