[1740780630.4666274]	Q_Header<(2621443, 13482, 257, 173, 250, 8, 58, 0, 20)>	Q_Data<(0, 0, 57, 56, 0, 84, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 24, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4533659350667048, y=-0.8870786887802219, z=0.08569275347787474, w=-0.014404195029044472)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=0.015555555555555555, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=-0.15, z=-0.14)>	COMP<172>
[1740780630.476717]	Q_Header<(2621443, 13483, 257, 173, 250, 8, 58, 1, 15)>	Q_Data<(0, 0, 0, 0, 0, 84, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45330906550018724, y=-0.8871478749219364, z=0.08532732914625848, w=-0.014099150953351723)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.014444444444444444, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.09, z=-0.25)>	COMP<172>
[1740780630.4866703]	Q_Header<(2621443, 13484, 257, 173, 250, 8, 58, 2, 19)>	Q_Data<(0, 0, 0, 78, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 36, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45330906550018724, y=-0.8871478749219364, z=0.08532732914625848, w=-0.014099150953351723)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.014444444444444444, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.09, z=-0.25)>	COMP<172>
[1740780630.4966094]	Q_Header<(2621443, 13485, 257, 173, 250, 8, 58, 3, 15)>	Q_Data<(0, 0, 0, 45, 83, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45330906550018724, y=-0.8871478749219364, z=0.08532732914625848, w=-0.014099150953351723)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.014444444444444444, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.09, z=-0.25)>	COMP<172>
[1740780630.5079043]	Q_Header<(2621443, 13486, 257, 173, 250, 8, 58, 4, 15)>	Q_Data<(0, 0, 0, 76, 81, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45331494656467913, y=-0.8871593844510046, z=0.08520636399680788, w=-0.013916225638447131)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.015555555555555555, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.08, z=-0.17)>	COMP<169>
[1740780630.5166855]	Q_Header<(2621443, 13487, 257, 173, 250, 8, 58, 5, 15)>	Q_Data<(0, 0, 0, 79, 81, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45331494656467913, y=-0.8871593844510046, z=0.08520636399680788, w=-0.013916225638447131)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.015555555555555555, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.08, z=-0.17)>	COMP<169>
[1740780630.5266693]	Q_Header<(2621443, 13488, 257, 173, 250, 8, 58, 6, 17)>	Q_Data<(0, 0, 0, 69, 10, 64, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 26, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45331494656467913, y=-0.8871593844510046, z=0.08520636399680788, w=-0.013916225638447131)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.015555555555555555, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.08, z=-0.17)>	COMP<169>
[1740780630.5367248]	Q_Header<(2621443, 13489, 257, 173, 250, 8, 58, 7, 16)>	Q_Data<(0, 0, 0, 0, 16, 33, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 33, 17, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45331494656467913, y=-0.8871593844510046, z=0.08520636399680788, w=-0.013916225638447131)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.015555555555555555, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.08, z=-0.17)>	COMP<169>
[1740780630.5466871]	Q_Header<(2621443, 13490, 257, 173, 250, 8, 58, 8, 21)>	Q_Data<(0, 0, 0, 0, 82, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39, 34, 20, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45324107549415416, y=-0.8871952967119613, z=0.08526498551916689, w=-0.013671694170575078)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.017777777777777778, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.03, z=-0.15)>	COMP<169>
[1740780630.556816]	Q_Header<(2621443, 13491, 257, 173, 250, 8, 58, 9, 23)>	Q_Data<(0, 0, 0, 0, 81, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 27, 25, 20, 7, 0, 0, 14, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45324107549415416, y=-0.8871952967119613, z=0.08526498551916689, w=-0.013671694170575078)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.017777777777777778, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.03, z=-0.15)>	COMP<169>
[1740780630.5667498]	Q_Header<(2621443, 13492, 257, 173, 250, 8, 58, 10, 21)>	Q_Data<(0, 0, 0, 73, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 66, 17, 6, 5, 0, 0, 0, 0, 3, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45324107549415416, y=-0.8871952967119613, z=0.08526498551916689, w=-0.013671694170575078)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.017777777777777778, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.03, z=-0.15)>	COMP<169>
